scenario,survived,months_run,final_arr_usd,final_team_size,final_cash_usd,final_trl,final_layer3_substitutability,valuation_vc_method,valuation_comparable_multiples,valuation_damodaran_classical,valuation_damodaran_inverted
pre_genai_2019_baseline,False,66,1132730.688094722,108.0,-1095693.7853092276,8.0,0.050328694230638585,3851220.7943789493,16302662.4345401,22112710.871674288,22257895.336993363
pre_genai_2019_baseline,False,76,1880460.629084861,90.0,-753436.02324157,8.0,0.010000000000000002,6393460.646787858,9311589.094761012,36709592.698033325,36950615.27635375
pre_genai_2019_baseline,False,71,1903226.6020835852,108.0,-457313.08341402875,8.0,0.11869153150508682,6470863.677833509,13588854.190188339,37154020.82549926,37397961.36627273
pre_genai_2019_baseline,False,66,1041546.412077746,114.0,-404372.7244530709,8.0,0.08641981706980537,3541199.3712747116,6528985.809879702,20332648.273566477,20518363.736962754
pre_genai_2019_baseline,False,62,745167.7235339733,102.0,-326718.42198938876,8.0,0.15750016339049755,2533528.4567959732,5699183.990370334,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,65,1263199.5108275788,126.0,-440097.2990596908,8.0,0.019084766937575232,4294807.472490474,9205921.551421849,24659670.51987809,24849391.06628585
pre_genai_2019_baseline,False,63,766567.022293901,126.0,-1022493.8860679765,8.0,0.12492136788396893,2606284.8720988743,6310547.998878475,19521596.00166598,19698844.893573508
pre_genai_2019_baseline,False,62,700089.3080581253,126.0,-411664.91491426155,8.0,0.017279222553700947,2380264.373035472,7410612.967937757,19521596.00166598,19683493.575342435
pre_genai_2019_baseline,True,96,10105829.033276323,84.0,411004.9802843202,8.0,0.0189177474458011,34359251.78548505,72372352.62748419,197281911.6495271,198654583.34293172
pre_genai_2019_baseline,False,61,926945.5350989287,138.0,-356822.8304878196,8.0,0.14318560830851876,3151562.818549853,6795268.129159798,19521596.00166598,19657640.80361678
pre_genai_2019_baseline,False,60,1043751.5908813755,127.41995499138103,-731484.3549093246,8.0,0.010000000000000002,3548696.855498562,7575052.441336913,20375696.88328237,20509476.71130392
pre_genai_2019_baseline,False,63,722300.4926215621,120.0,-155621.00406114943,8.0,0.04404243183049327,2455781.1545242625,3167080.0675073043,19521596.00166598,19682710.893860623
pre_genai_2019_baseline,False,69,1228837.5194378379,108.0,-635401.2084701296,8.0,0.019222015240795823,4177978.6294412646,22155053.160354804,23988869.60615484,24146372.285387173
pre_genai_2019_baseline,False,58,473469.1487260591,136.14118481724597,-670846.885739557,8.0,0.010000000000000002,1609768.5444876177,4984654.01608695,19521596.00166598,19649768.096626412
